,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
73,2023-12-13,1702443600,9.9,3.4,5.8,7.2,0.4,3.5,-4.1,50.9,0.0,0.0,0.0,,0.0,0.0,72.4,25.8,264.1,1031.8,5.5,16.0,101.3,8.7,5.0,10.0,07:11:27,1702469487,16:28:54,1702502934,0.03,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
74,2023-12-14,1702530000,6.6,1.6,3.8,4.3,-1.6,1.1,-6.2,48.8,0.0,0.0,0.0,,0.0,0.0,70.5,20.3,267.7,1036.7,9.7,16.0,114.5,10.0,6.0,10.0,07:12:12,1702555932,16:29:07,1702589347,0.06,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
75,2023-12-15,1702616400,15.6,2.9,7.9,15.6,-1.1,6.0,-2.6,48.6,0.0,0.0,0.0,,0.0,0.0,73.0,20.1,256.7,1028.7,0.7,16.0,102.3,8.8,5.0,10.0,07:12:55,1702642375,16:29:22,1702675762,0.1,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
76,2023-12-16,1702702800,13.3,7.3,9.8,13.3,5.2,8.7,1.7,57.8,0.0,0.0,0.0,,0.0,0.0,29.5,23.7,45.8,1031.5,10.3,15.9,96.0,8.4,4.0,10.0,07:13:37,1702728817,16:29:39,1702762179,0.13,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
77,2023-12-17,1702789200,13.4,8.3,10.7,13.4,5.5,9.5,8.2,84.4,0.184,100.0,29.17,['rain'],0.0,0.0,42.5,27.1,45.1,1022.1,100.0,15.4,24.2,2.1,1.0,10.0,07:14:16,1702815256,16:29:59,1702848599,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
78,2023-12-18,1702875600,15.7,6.2,11.7,15.7,2.8,10.5,8.4,81.2,3.124,100.0,58.33,['rain'],0.0,0.0,56.8,31.0,249.3,992.9,76.1,11.1,35.6,3.1,4.0,10.0,07:14:54,1702901694,16:30:20,1702935020,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
79,2023-12-19,1702962000,7.7,1.1,4.4,6.6,-1.8,1.4,-3.3,58.1,0.0,0.0,0.0,,0.0,0.0,76.2,21.8,273.9,1015.1,40.4,15.9,120.0,10.4,6.0,10.0,07:15:30,1702988130,16:30:44,1703021444,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
80,2023-12-20,1703048400,8.7,0.0,3.5,7.5,-3.2,1.5,-5.1,54.1,0.0,0.0,0.0,,0.0,0.0,76.0,16.6,314.8,1028.0,30.3,16.0,96.5,8.4,5.0,10.0,07:16:04,1703074564,16:31:10,1703107870,0.28,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
81,2023-12-21,1703134800,7.7,1.0,3.9,5.4,-2.7,1.4,-4.6,54.7,0.0,0.0,0.0,,0.0,0.0,35.3,20.3,28.7,1030.1,0.4,15.7,98.8,8.5,5.0,10.0,07:16:36,1703160996,16:31:39,1703194299,0.31,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
82,2023-12-22,1703221200,4.9,-2.2,1.0,2.8,-6.7,-0.9,-8.5,50.2,0.0,0.0,0.0,,0.0,0.0,70.2,20.2,340.9,1032.1,3.2,16.0,89.3,7.6,5.0,10.0,07:17:06,1703247426,16:32:09,1703280729,0.35,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
83,2023-12-23,1703307600,6.7,2.1,4.4,6.1,-0.5,2.3,-3.1,59.2,0.0,0.0,0.0,,0.0,0.0,14.8,16.1,46.9,1032.2,72.4,16.0,37.5,3.1,2.0,10.0,07:17:34,1703333854,16:32:41,1703367161,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
84,2023-12-24,1703394000,7.9,5.6,6.6,7.2,2.7,5.8,3.7,81.8,0.033,100.0,12.5,['rain'],0.0,0.0,11.2,14.0,280.2,1030.1,98.4,15.9,34.3,3.0,2.0,10.0,07:18:00,1703420280,16:33:16,1703453596,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
85,2023-12-25,1703480400,8.9,6.2,7.5,8.8,3.3,6.1,5.6,87.3,0.0,0.0,0.0,,0.0,0.0,13.0,14.5,53.1,1030.4,88.2,12.6,34.3,3.0,2.0,10.0,07:18:24,1703506704,16:33:52,1703540032,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
86,2023-12-26,1703566800,8.5,6.7,7.4,8.4,3.9,6.3,5.7,88.8,0.0,0.0,0.0,,0.0,0.0,11.2,14.3,70.8,1026.4,91.5,7.6,37.0,3.2,2.0,10.0,07:18:46,1703593126,16:34:30,1703626470,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
87,2023-12-27,1703653200,9.3,6.7,7.8,7.2,4.8,6.0,6.3,89.8,0.298,100.0,25.0,['rain'],0.0,0.0,35.3,25.3,46.2,1018.2,97.6,12.5,28.5,2.5,2.0,10.0,07:19:05,1703679545,16:35:10,1703712910,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
88,2023-12-28,1703739600,11.7,8.9,10.1,11.7,5.3,9.0,8.6,90.5,2.085,100.0,62.5,['rain'],0.0,0.0,47.1,37.9,39.5,1005.7,100.0,10.9,15.4,1.3,1.0,10.0,07:19:23,1703765963,16:35:52,1703799352,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
89,2023-12-29,1703826000,12.2,7.9,9.5,12.2,6.8,8.9,6.3,81.8,0.04,100.0,12.5,['rain'],0.0,0.0,44.6,21.3,260.4,1005.0,84.5,12.7,87.7,7.4,5.0,10.0,07:19:38,1703852378,16:36:36,1703885796,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
90,2023-12-30,1703912400,7.9,3.9,6.0,6.6,0.3,3.3,0.2,66.5,0.0,0.0,0.0,,0.0,0.0,78.6,32.4,270.2,1005.0,66.9,16.0,43.4,3.8,3.0,10.0,07:19:51,1703938791,16:37:22,1703972242,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
91,2023-12-31,1703998800,6.2,4.3,5.5,5.0,1.0,3.6,-2.7,55.8,0.0,0.0,0.0,,0.0,0.0,38.9,18.2,268.3,1014.8,96.7,16.0,31.9,2.6,2.0,10.0,07:20:02,1704025202,16:38:09,1704058689,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
